Timestamp (UTC),Macro_Step,Micro_Step,BTC_Price,Total_Portfolio_Value,Cash_Balance,BTC_Holdings,Target_Cash_Pct,Target_BTC_Pct,Actual_Cash_Pct,Actual_BTC_Pct,Trade_Action
20:24:13,0,0,69226.10,9999.76,9849.45,0.002171,0.9895,0.0105,0.9850,0.0150,Bought 0.002171 BTC
20:25:25,0,0,69281.60,9999.72,9827.01,0.002493,0.9807,0.0193,0.9827,0.0173,Bought 0.002493 BTC
20:30:05,0,1,69152.60,9999.40,9827.01,0.002493,0.9807,0.0193,0.9828,0.0172,Hold
20:35:05,0,2,69175.30,9999.46,9827.01,0.002493,0.9807,0.0193,0.9828,0.0172,Hold
20:40:05,0,3,69218.30,9999.57,9827.01,0.002493,0.9807,0.0193,0.9827,0.0173,Hold
20:45:05,0,4,69156.80,9999.41,9827.01,0.002493,0.9807,0.0193,0.9828,0.0172,Hold
20:50:05,0,5,69149.70,9999.39,9827.01,0.002493,0.9807,0.0193,0.9828,0.0172,Hold
20:55:05,0,6,68949.30,9998.88,9837.85,0.002335,0.9807,0.0193,0.9839,0.0161,Sold 0.000158 BTC
21:00:05,0,7,68946.00,9998.85,9849.19,0.002171,0.9807,0.0193,0.9850,0.0150,Sold 0.000165 BTC
21:05:05,0,8,68892.20,9998.73,9849.19,0.002171,0.9807,0.0193,0.9850,0.0150,Hold
21:10:05,0,9,68912.70,9998.76,9838.71,0.002323,0.9807,0.0193,0.9840,0.0160,Bought 0.000152 BTC
21:15:05,0,10,68949.40,9998.85,9838.71,0.002323,0.9807,0.0193,0.9840,0.0160,Hold
21:20:05,0,11,68938.20,9998.82,9838.71,0.002323,0.9807,0.0193,0.9840,0.0160,Hold
21:25:05,0,12,69143.70,9999.30,9838.71,0.002323,0.9807,0.0193,0.9839,0.0161,Hold
21:30:05,0,13,69030.20,9999.01,9825.06,0.002520,0.9807,0.0193,0.9826,0.0174,Bought 0.000197 BTC
21:35:05,0,14,69037.10,9999.03,9825.06,0.002520,0.9807,0.0193,0.9826,0.0174,Hold
21:40:05,0,15,68997.50,9998.93,9825.06,0.002520,0.9807,0.0193,0.9826,0.0174,Hold
21:48:17,0,16,68999.70,9998.92,9835.99,0.002361,0.9807,0.0193,0.9837,0.0163,Sold 0.000159 BTC
21:50:05,0,17,68990.00,9998.90,9835.99,0.002361,0.9807,0.0193,0.9837,0.0163,Hold
21:55:05,0,18,68946.50,9998.79,9835.99,0.002361,0.9807,0.0193,0.9837,0.0163,Hold
22:00:05,0,19,68971.50,9998.85,9835.99,0.002361,0.9807,0.0193,0.9837,0.0163,Hold
22:05:05,0,20,68954.40,9998.79,9825.13,0.002519,0.9807,0.0193,0.9826,0.0174,Bought 0.000157 BTC
22:10:05,0,21,68882.10,9998.61,9825.13,0.002519,0.9807,0.0193,0.9826,0.0174,Hold
